,cik,company,filing_date,url,sentence,label,score
0,320193.0,Apple Inc,10/28/2022,edgar/data/0000320193/000032019322000108/aapl-20220924.htm,"Total net sales increased 8% or $28.5 billion during 2022 compared to 2021, driven primarily by higher net sales of iPhone, Services and Mac. ",Positive,0.9999852180480957
1,320193.0,Apple Inc,10/28/2022,edgar/data/0000320193/000032019322000108/aapl-20220924.htm,The weakness in foreign currencies relative to the U.S. dollar had an unfavorable year-over-year impact on all Products and Services net sales during 2022.,Negative,0.9998519420623779
2,320193.0,Apple Inc,10/28/2022,edgar/data/0000320193/000032019322000108/aapl-20220924.htm,"The Company announces new product, service and software offerings at various times during the year. Significant announcements during fiscal 2022 included the following:",Neutral,0.9997873902320862
3,320193.0,Apple Inc,10/28/2022,edgar/data/0000320193/000032019322000108/aapl-20220924.htm,"The COVID-19 pandemic has had, and continues to have, a significant impact around the world, prompting governments and businesses to take unprecedented measures, such as restrictions on travel and business operations, temporary closures of businesses, and quarantine and shelter-in-place orders. ",Negative,0.9935494065284729
4,320193.0,Apple Inc,10/28/2022,edgar/data/0000320193/000032019322000108/aapl-20220924.htm,"The COVID-19 pandemic has at times significantly curtailed global economic activity and caused significant volatility and disruption in global financial markets. The COVID-19 pandemic and the measures taken by many countries in response have affected and could in the future materially impact the Company’s business, results of operations and financial condition.",Negative,0.999467670917511
5,1018724.0,Amazon Com Inc,2/3/2023,edgar/data/0001018724/000101872423000004/amzn-20221231.htm,Our primary source of revenue is the sale of a wide range of products and services to customers.,Neutral,0.9996429681777954
6,1018724.0,Amazon Com Inc,2/3/2023,edgar/data/0001018724/000101872423000004/amzn-20221231.htm,"The products offered through our stores include merchandise and content we have purchased for resale and products offered by third-party sellers, and we also manufacture and sell electronic devices and produce media content. ",Neutral,0.9999854564666748
7,1018724.0,Amazon Com Inc,2/3/2023,edgar/data/0001018724/000101872423000004/amzn-20221231.htm," Generally, we recognize gross revenue from items we sell from our inventory as product sales and recognize our net share of revenue of items sold by third-party sellers as service sales. ",Neutral,0.9988595247268677
8,1018724.0,Amazon Com Inc,2/3/2023,edgar/data/0001018724/000101872423000004/amzn-20221231.htm,"We seek to increase unit sales across our stores, through increased product selection, across numerous product categories. ",Positive,0.9997908473014832
9,1018724.0,Amazon Com Inc,2/3/2023,edgar/data/0001018724/000101872423000004/amzn-20221231.htm," We also offer other services such as compute, storage, and database offerings, fulfillment, advertising, publishing, and digital content subscriptions.",Neutral,0.999860405921936
